L_ratio,Load_param,Force_Angle,Vertical_disp,Horizontal_disp,Beam_angle
6,1.8,0,0.438353529,0.134372979,0.714927895
6,1.8,5,0.444154478,0.134391335,0.714335583
6,1.8,10,0.449318737,0.134402611,0.713773361
6,1.8,15,0.453826466,0.134407229,0.713256424
6,1.8,20,0.457661154,0.134405886,0.712796986
6,1.8,25,0.460812381,0.134401001,0.712407219
6,1.8,30,0.463270702,0.134394165,0.712095078
6,1.8,35,0.465030217,0.134387423,0.711867284
6,1.8,40,0.466087237,0.134382559,0.71172866
6,1.8,45,0.466,0.134380793,0.711682125
6,1.8,50,0.466087237,0.134382559,0.71172866
6,1.8,55,0.465030217,0.134387423,0.711867284
6,1.8,60,0.463270702,0.134394165,0.712095078
6,1.8,65,0.460812381,0.134401001,0.712407219
6,1.8,70,0.457661154,0.134405886,0.712796986
6,1.8,75,0.453826466,0.134407229,0.713256424
6,1.8,80,0.449318737,0.134402611,0.713773361
6,1.8,85,0.444154478,0.134391335,0.714335583
6,1.8,90,0.438353529,0.134372979,0.714927895
